"Bevolking en huishoudens; viercijferige postcode, 1 januari 2006";;;;;;;;;;;
Onderwerpen;Allochtonen naar herkomstgroepering;Allochtonen naar herkomstgroepering;Allochtonen naar herkomstgroepering;Particuliere huishoudens: samenstelling;Particuliere huishoudens: samenstelling;Particuliere huishoudens: samenstelling;Particuliere huishoudens: samenstelling;Particuliere huishoudens: samenstelling;Lokalisering van de postcode;;
Onderwerpen;Totaal allochtonen;Westerse allochtonen;Niet-westerse allochtonen;Totaal particuliere huishoudens;Eenpersoonshuishoudens;Meerpersoonshuishoudens zonder kinderen;Meerpersoonshuishoudens met kinderen;Gemiddelde huishoudensgrootte;Gemeentenaam;;totaalpers
Postcodes op 1 januari;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;naam;;
9045 Menaldumadeel;45;35;5;380;95;130;160;2.53;Menaldumadeel;;961.4
9047 het Bildt;75;60;15;765;230;220;315;2.43;het Bildt;;1858.95
9051 Leeuwarderadeel;530;315;220;2935;640;1070;1230;2.55;Leeuwarderadeel;;7484.25
9053 Leeuwarderadeel;10;10;0;60;5;20;35;2.93;Leeuwarderadeel;;175.8
9054 Leeuwarderadeel;20;20;5;185;45;70;70;2.4;Leeuwarderadeel;;444
9055 Leeuwarderadeel;75;50;25;405;85;130;195;2.66;Leeuwarderadeel;;1077.3
9056 Leeuwarderadeel;20;20;5;180;30;70;80;2.67;Leeuwarderadeel;;480.6
9057 Leeuwarderadeel;20;10;5;145;40;50;55;2.47;Leeuwarderadeel;;358.15
9061 Tytsjerksteradiel;100;75;25;920;205;345;370;2.48;Tytsjerksteradiel;;2281.6
9062 Tytsjerksteradiel;70;45;20;785;265;280;240;2.25;Tytsjerksteradiel;;1766.25
9063 Tytsjerksteradiel;25;25;0;285;65;100;115;2.5;Tytsjerksteradiel;;712.5
9064 Tytsjerksteradiel;20;20;0;270;70;80;120;2.59;Tytsjerksteradiel;;699.3
9067 Dantumadeel;5;5;0;75;5;30;35;2.79;Dantumadeel;;209.25
9071 Leeuwarderadeel;10;10;0;80;30;30;30;2.38;Leeuwarderadeel;;190.4
9072 Leeuwarderadeel;5;5;0;35;10;5;15;2.51;Leeuwarderadeel;;87.85
9073 Ferwerderadiel;75;40;40;585;145;175;260;2.54;Ferwerderadiel;;1485.9
9074 Ferwerderadiel;145;100;45;1105;295;355;460;2.49;Ferwerderadiel;;2751.45
9075 het Bildt;25;20;0;115;40;40;45;2.33;het Bildt;;267.95
9076 het Bildt;595;275;320;2180;680;680;820;2.37;het Bildt;;5166.6
9077 het Bildt;30;20;5;290;70;80;140;2.56;het Bildt;;742.4
9078 het Bildt;40;35;0;435;130;135;165;2.39;het Bildt;;1039.65
9079 het Bildt;125;85;40;760;230;240;290;2.36;het Bildt;;1793.6
9081 Leeuwarden;35;25;10;190;40;80;75;2.42;Leeuwarden;;459.8
9082 Leeuwarden;0;0;0;10;0;5;5;2.73;Leeuwarden;;27.3
9083 Leeuwarden;10;5;0;95;35;30;25;2.25;Leeuwarden;;213.75
9084 Leeuwarden;185;145;45;985;160;380;445;2.67;Leeuwarden;;2629.95
9085 Leeuwarden;0;5;0;10;0;0;0;1.89;Leeuwarden;;18.9
9086 Leeuwarden;15;15;0;70;15;20;30;2.55;Leeuwarden;;178.5
9087 Leeuwarden;0;0;0;15;0;5;15;3.41;Leeuwarden;;51.15
9088 Leeuwarden;60;40;20;475;105;155;210;2.62;Leeuwarden;;1244.5
9089 Leeuwarden;40;30;10;255;80;80;95;2.41;Leeuwarden;;614.55
9091 Tytsjerksteradiel;10;10;0;80;15;35;25;2.35;Tytsjerksteradiel;;188
9101 Dongeradeel;580;315;265;3905;1445;1335;1125;2.11;Dongeradeel;;8239.55
9102 Dongeradeel;20;15;10;400;60;130;210;2.86;Dongeradeel;;1144
9103 Dongeradeel;740;285;460;1300;355;295;650;2.73;Dongeradeel;;3549
9104 Dantumadeel;170;100;65;2225;570;740;915;2.53;Dantumadeel;;5629.25
9105 Dantumadeel;30;20;10;425;95;125;210;2.67;Dantumadeel;;1134.75
9106 Dantumadeel;0;0;0;20;5;5;10;3.11;Dantumadeel;;62.2
9107 Ferwerderadiel;0;5;0;20;5;5;10;3.2;Ferwerderadiel;;64
9108 Dantumadeel;55;40;10;460;90;145;230;2.75;Dantumadeel;;1265
9109 Dantumadeel;5;5;0;90;5;35;45;2.92;Dantumadeel;;262.8
9111 Ferwerderadiel;10;10;0;210;70;60;80;2.43;Ferwerderadiel;;510.3
9112 Ferwerderadiel;30;20;10;260;55;95;110;2.57;Ferwerderadiel;;668.2
9113 Dantumadeel;25;20;5;345;70;80;195;3.14;Dantumadeel;;1083.3
9114 Dantumadeel;10;10;5;325;70;85;170;2.93;Dantumadeel;;952.25
9121 Dongeradeel;5;0;0;40;5;10;30;3.67;Dongeradeel;;146.8
9122 Dongeradeel;5;5;0;20;5;10;5;3;Dongeradeel;;60
9123 Dongeradeel;35;30;5;345;100;110;130;2.49;Dongeradeel;;859.05
9124 Dongeradeel;5;5;0;15;0;5;10;3.27;Dongeradeel;;49.05
9125 Dongeradeel;5;0;0;70;15;20;40;2.9;Dongeradeel;;203
9131 Dongeradeel;40;40;5;370;100;110;160;2.54;Dongeradeel;;939.8
9132 Dongeradeel;25;20;0;240;85;80;75;2.37;Dongeradeel;;568.8
9133 Dongeradeel;40;25;15;455;135;115;200;2.55;Dongeradeel;;1160.25
9134 Dongeradeel;15;15;0;155;40;55;60;2.47;Dongeradeel;;382.85
9135 Dongeradeel;5;5;0;95;25;35;40;2.44;Dongeradeel;;231.8
9136 Dongeradeel;20;15;0;100;20;40;45;2.66;Dongeradeel;;266
9137 Dongeradeel;20;20;0;345;80;110;155;2.67;Dongeradeel;;921.15
9138 Dongeradeel;10;10;0;150;40;45;70;2.65;Dongeradeel;;397.5
9141 Dongeradeel;25;25;0;170;55;60;55;2.28;Dongeradeel;;387.6
9142 Dongeradeel;10;10;5;105;40;30;30;2.18;Dongeradeel;;228.9
9143 Dongeradeel;20;20;0;185;60;70;60;2.18;Dongeradeel;;403.3
9144 Dongeradeel;25;15;10;85;20;30;40;2.69;Dongeradeel;;228.65
9145 Dongeradeel;60;50;15;500;120;150;225;2.68;Dongeradeel;;1340
9146 Dongeradeel;5;5;0;25;0;10;15;3.18;Dongeradeel;;79.5
9147 Dongeradeel;20;15;5;150;45;50;55;2.48;Dongeradeel;;372
9148 Dongeradeel;0;0;0;25;0;10;15;3.5;Dongeradeel;;87.5
9151 Dongeradeel;90;55;35;715;230;215;275;2.38;Dongeradeel;;1701.7
9152 Dongeradeel;0;0;0;20;5;5;5;2.12;Dongeradeel;;42.4
9153 Dongeradeel;10;10;0;90;25;25;45;2.66;Dongeradeel;;239.4
9154 Dongeradeel;10;10;0;25;5;10;15;3.12;Dongeradeel;;78
9155 Dongeradeel;0;0;0;80;10;25;40;2.95;Dongeradeel;;236
9156 Dongeradeel;0;0;0;40;10;15;20;2.8;Dongeradeel;;112
9161 Ameland;55;45;15;520;155;165;205;2.38;Ameland;;1237.6
9162 Ameland;20;15;5;165;55;50;60;2.27;Ameland;;374.55
9163 Ameland;90;70;20;525;190;160;175;2.24;Ameland;;1176
9164 Ameland;30;20;5;275;95;70;115;2.36;Ameland;;649
9166 Schiermonnikoog;65;45;15;490;205;165;115;2.01;Schiermonnikoog;;984.9
9171 Ferwerderadiel;35;30;10;355;115;100;135;2.45;Ferwerderadiel;;869.75
9172 Ferwerderadiel;85;65;25;775;230;255;290;2.38;Ferwerderadiel;;1844.5
9173 Ferwerderadiel;5;5;0;50;15;15;20;2.37;Ferwerderadiel;;118.5
9174 Ferwerderadiel;0;0;0;30;0;15;15;2.68;Ferwerderadiel;;80.4
9175 Ferwerderadiel;5;5;5;55;10;15;25;2.81;Ferwerderadiel;;154.55
9176 Ferwerderadiel;5;0;0;25;5;5;15;3.36;Ferwerderadiel;;84
9177 Ferwerderadiel;0;5;0;15;0;5;10;2.94;Ferwerderadiel;;44.1
9178 Ferwerderadiel;15;10;5;90;30;30;30;2.35;Ferwerderadiel;;211.5
9201 Smallingerland;860;405;455;3860;1530;1180;1145;2.07;Smallingerland;;7990.2
9202 Smallingerland;1365;595;770;3860;1375;1170;1315;2.22;Smallingerland;;8569.2
9203 Smallingerland;615;435;185;4710;1985;1680;1045;1.94;Smallingerland;;9137.4
9204 Smallingerland;665;410;255;2690;610;925;1165;2.54;Smallingerland;;6832.6
9205 Smallingerland;635;300;340;2055;600;515;945;2.5;Smallingerland;;5137.5
9206 Smallingerland;5;5;0;25;10;5;15;3.04;Smallingerland;;76
9207 Smallingerland;835;415;425;2245;645;600;1000;2.53;Smallingerland;;5679.85
9211 Smallingerland;10;10;0;70;15;25;30;2.72;Smallingerland;;190.4
9212 Smallingerland;45;35;10;555;120;205;230;2.61;Smallingerland;;1448.55
9213 Smallingerland;20;25;5;275;15;125;135;2.8;Smallingerland;;770
9214 Smallingerland;10;5;0;25;10;10;5;2.12;Smallingerland;;53
9215 Smallingerland;10;10;0;90;20;25;45;2.88;Smallingerland;;259.2
9216 Smallingerland;45;30;20;635;130;215;290;2.67;Smallingerland;;1695.45
9217 Smallingerland;15;15;5;170;35;55;85;2.94;Smallingerland;;499.8
9218 Smallingerland;50;40;15;670;145;235;290;2.61;Smallingerland;;1748.7
9219 Smallingerland;5;5;0;125;15;45;60;2.85;Smallingerland;;356.25
9221 Smallingerland;40;30;5;530;135;165;225;2.51;Smallingerland;;1330.3
9222 Smallingerland;45;40;5;435;75;150;210;2.77;Smallingerland;;1204.95
9223 Smallingerland;40;35;5;365;75;130;165;2.61;Smallingerland;;952.65
9231 Achtkarspelen;180;95;85;2385;680;800;905;2.36;Achtkarspelen;;5628.6
9233 Achtkarspelen;35;30;5;470;115;145;210;2.48;Achtkarspelen;;1165.6
9241 Opsterland;80;70;15;785;200;270;320;2.59;Opsterland;;2033.15
9243 Opsterland;110;75;35;795;200;270;330;2.54;Opsterland;;2019.3
9244 Opsterland;195;140;55;1525;495;560;470;2.22;Opsterland;;3385.5
9245 Opsterland;65;50;10;620;140;185;295;2.72;Opsterland;;1686.4
9246 Opsterland;5;0;5;30;5;10;15;2.87;Opsterland;;86.1
9247 Opsterland;195;125;70;1775;430;555;785;2.61;Opsterland;;4632.75
9248 Opsterland;25;20;10;295;40;90;160;3.02;Opsterland;;890.9
9249 Opsterland;30;20;10;360;70;110;180;2.87;Opsterland;;1033.2
9251 Tytsjerksteradiel;815;355;460;4160;1305;1390;1470;2.32;Tytsjerksteradiel;;9651.2
9254 Tytsjerksteradiel;385;255;130;2085;525;750;815;2.41;Tytsjerksteradiel;;5024.85
9255 Tytsjerksteradiel;85;75;10;630;115;280;235;2.49;Tytsjerksteradiel;;1568.7
9256 Tytsjerksteradiel;30;15;15;320;65;110;140;2.61;Tytsjerksteradiel;;835.2
9257 Tytsjerksteradiel;75;60;20;820;175;275;365;2.59;Tytsjerksteradiel;;2123.8
9258 Tytsjerksteradiel;25;15;5;335;75;100;160;2.71;Tytsjerksteradiel;;907.85
9261 Tytsjerksteradiel;30;20;5;585;135;175;270;2.68;Tytsjerksteradiel;;1567.8
9262 Tytsjerksteradiel;30;25;10;550;130;185;235;2.55;Tytsjerksteradiel;;1402.5
9263 Tytsjerksteradiel;40;30;5;695;150;215;325;2.71;Tytsjerksteradiel;;1883.45
9264 Tytsjerksteradiel;20;10;5;185;55;70;65;2.36;Tytsjerksteradiel;;436.6
9265 Tytsjerksteradiel;20;15;0;225;50;65;105;2.76;Tytsjerksteradiel;;621
9269 Dantumadeel;135;100;35;1460;375;500;585;2.49;Dantumadeel;;3635.4
9271 Dantumadeel;140;100;40;2050;540;635;875;2.47;Dantumadeel;;5063.5
9281 Achtkarspelen;90;60;25;1705;410;525;775;2.51;Achtkarspelen;;4279.55
9283 Achtkarspelen;30;20;10;500;90;155;250;2.78;Achtkarspelen;;1390
9284 Achtkarspelen;35;30;10;495;105;135;255;2.71;Achtkarspelen;;1341.45
9285 Achtkarspelen;265;160;105;2325;655;770;905;2.44;Achtkarspelen;;5673
9286 Achtkarspelen;30;20;5;440;120;120;200;2.54;Achtkarspelen;;1117.6
9287 Achtkarspelen;30;30;0;730;155;200;365;2.69;Achtkarspelen;;1963.7
9288 Achtkarspelen;85;75;10;970;205;325;435;2.61;Achtkarspelen;;2531.7
9289 Achtkarspelen;30;25;5;685;165;220;300;2.58;Achtkarspelen;;1767.3
9291 Kollumerland en Nieuwkruisland;205;130;75;2325;705;790;830;2.36;Kollumerland en Nieuwkruisland;;5487
9292 Kollumerland en Nieuwkruisland;0;0;0;25;5;5;10;2.75;Kollumerland en Nieuwkruisland;;68.75
9293 Kollumerland en Nieuwkruisland;20;15;5;180;50;60;70;2.38;Kollumerland en Nieuwkruisland;;428.4
9294 Kollumerland en Nieuwkruisland;15;10;5;310;65;105;140;2.7;Kollumerland en Nieuwkruisland;;837
9295 Kollumerland en Nieuwkruisland;15;15;5;235;50;75;115;2.7;Kollumerland en Nieuwkruisland;;634.5
9296 Kollumerland en Nieuwkruisland;10;0;5;120;20;35;65;3;Kollumerland en Nieuwkruisland;;360
9297 Kollumerland en Nieuwkruisland;0;5;0;40;10;15;15;2.89;Kollumerland en Nieuwkruisland;;115.6
9298 Kollumerland en Nieuwkruisland;85;60;20;1160;285;350;525;2.61;Kollumerland en Nieuwkruisland;;3027.6
9299 Kollumerland en Nieuwkruisland;0;0;0;225;45;55;125;2.81;Kollumerland en Nieuwkruisland;;632.25
9301 Noordenveld;860;560;300;5285;1590;2115;1580;2.19;Noordenveld;;11574.15
9302 Noordenveld;195;145;55;1205;255;335;620;2.73;Noordenveld;;3289.65
9304 Noordenveld;10;5;0;100;10;50;40;2.63;Noordenveld;;263
9305 Noordenveld;10;10;5;145;30;65;55;2.4;Noordenveld;;348
9306 Noordenveld;0;0;0;45;5;25;10;2.26;Noordenveld;;101.7
9307 Noordenveld;15;20;0;90;30;30;30;2.26;Noordenveld;;203.4
9311 Noordenveld;55;40;15;510;110;175;225;2.57;Noordenveld;;1310.7
9312 Noordenveld;40;45;0;460;105;200;160;2.37;Noordenveld;;1090.2
9313 Noordenveld;10;5;5;70;20;25;20;2.3;Noordenveld;;161
9314 Noordenveld;5;5;0;90;15;40;40;2.57;Noordenveld;;231.3
9315 Noordenveld;20;15;5;130;30;55;50;2.4;Noordenveld;;312
9321 Noordenveld;270;225;45;2175;545;790;840;2.43;Noordenveld;;5285.25
9331 Noordenveld;190;145;45;1705;535;625;535;2.21;Noordenveld;;3768.05
9333 Noordenveld;10;10;0;95;15;40;40;2.68;Noordenveld;;254.6
9334 Noordenveld;5;5;5;45;15;15;20;2.54;Noordenveld;;114.3
9335 Noordenveld;5;0;0;65;10;25;35;2.77;Noordenveld;;180.05
9336 Noordenveld;0;0;0;45;10;15;25;2.73;Noordenveld;;122.85
9337 Noordenveld;5;10;0;65;10;25;25;2.6;Noordenveld;;169
9341 Noordenveld;210;55;155;455;110;150;195;2.53;Noordenveld;;1151.15
9342 Noordenveld;35;25;5;315;60;110;145;2.65;Noordenveld;;834.75
9343 Noordenveld;10;5;0;80;20;25;40;2.84;Noordenveld;;227.2
9351 Leek;790;485;305;3995;1145;1435;1420;2.31;Leek;;9228.45
9354 Leek;70;60;10;1085;235;370;485;2.62;Leek;;2842.7
9355 Leek;15;15;5;155;30;55;70;2.78;Leek;;430.9
9356 Leek;350;235;115;1870;480;570;820;2.52;Leek;;4712.4
9359 Leek;0;5;0;10;0;5;5;3.1;Leek;;31
9361 Marum;15;5;10;105;15;30;60;3.06;Marum;;321.3
9362 Marum;10;5;5;120;25;30;65;2.76;Marum;;331.2
9363 Marum;395;310;90;2095;510;695;890;2.54;Marum;;5321.3
9364 Marum;25;15;10;295;55;105;135;2.61;Marum;;769.95
9365 Marum;10;10;5;255;45;85;120;2.73;Marum;;696.15
9366 Marum;5;0;0;95;10;35;50;2.78;Marum;;264.1
9367 Marum;65;40;25;640;145;230;260;2.52;Marum;;1612.8
9401 Assen;600;420;175;2815;1455;895;470;1.76;Assen;;4954.4
9402 Assen;1275;645;630;3980;1640;1320;1025;1.99;Assen;;7920.2
9403 Assen;1595;970;625;5435;1025;1580;2835;2.74;Assen;;14891.9
9404 Assen;715;420;290;2915;1415;840;655;1.84;Assen;;5363.6
9405 Assen;680;440;245;2460;505;880;1075;2.53;Assen;;6223.8
9406 Assen;2395;1380;1020;4655;1930;1335;1395;2.08;Assen;;9682.4
9407 Assen;920;540;380;2935;860;790;1290;2.43;Assen;;7132.05
9408 Assen;500;315;180;1610;165;485;955;2.97;Assen;;4781.7
9409 Assen;20;25;0;115;15;55;45;2.6;Assen;;299
9411 Midden-Drenthe;465;310;160;3655;1135;1255;1265;2.28;Midden-Drenthe;;8333.4
9412 Midden-Drenthe;35;25;5;495;70;165;260;2.89;Midden-Drenthe;;1430.55
9413 Midden-Drenthe;25;25;0;200;10;60;130;3.1;Midden-Drenthe;;620
9414 Midden-Drenthe;60;45;10;580;140;210;230;2.53;Midden-Drenthe;;1467.4
9415 Midden-Drenthe;20;20;5;325;50;120;155;2.74;Midden-Drenthe;;890.5
9416 Midden-Drenthe;0;0;0;50;5;20;30;2.78;Midden-Drenthe;;139
9417 Midden-Drenthe;15;15;5;150;45;50;60;2.44;Midden-Drenthe;;366
9418 Midden-Drenthe;45;40;5;400;80;135;180;2.59;Midden-Drenthe;;1036
9419 Midden-Drenthe;15;15;5;165;40;55;70;2.58;Midden-Drenthe;;425.7
9421 Midden-Drenthe;465;415;50;1345;300;455;590;2.56;Midden-Drenthe;;3443.2
9422 Midden-Drenthe;285;210;70;2100;585;700;810;2.41;Midden-Drenthe;;5061
9423 Midden-Drenthe;55;50;10;550;140;185;225;2.47;Midden-Drenthe;;1358.5
9431 Midden-Drenthe;215;165;50;2085;595;820;675;2.29;Midden-Drenthe;;4774.65
9432 Midden-Drenthe;0;0;0;30;5;10;15;3;Midden-Drenthe;;90
9433 Midden-Drenthe;25;15;10;180;35;65;80;2.7;Midden-Drenthe;;486
9434 Midden-Drenthe;0;0;0;30;0;15;10;2.54;Midden-Drenthe;;76.2
9435 Midden-Drenthe;5;10;0;20;5;5;10;2.91;Midden-Drenthe;;58.2
9436 Midden-Drenthe;10;10;0;105;15;40;50;2.7;Midden-Drenthe;;283.5
9437 Midden-Drenthe;5;5;0;45;5;10;25;3.2;Midden-Drenthe;;144
9438 Midden-Drenthe;5;0;0;35;10;15;15;2.26;Midden-Drenthe;;79.1
9439 Midden-Drenthe;25;20;10;210;30;65;115;2.95;Midden-Drenthe;;619.5
9441 Midden-Drenthe;20;20;5;95;20;40;30;2.38;Midden-Drenthe;;226.1
9442 Midden-Drenthe;15;20;0;160;30;85;45;2.45;Midden-Drenthe;;392
9443 Aa en Hunze;10;5;5;105;25;50;35;2.31;Aa en Hunze;;242.55
9444 Aa en Hunze;25;20;5;320;85;120;125;2.5;Aa en Hunze;;800
9445 Aa en Hunze;0;0;0;10;0;10;5;2.58;Aa en Hunze;;25.8
9446 Aa en Hunze;5;0;5;40;5;15;15;2.5;Aa en Hunze;;100
9447 Aa en Hunze;0;0;0;20;0;5;10;2.72;Aa en Hunze;;54.4
9448 Aa en Hunze;5;5;0;30;5;15;15;2.75;Aa en Hunze;;82.5
9449 Aa en Hunze;15;10;5;35;10;15;15;2.54;Aa en Hunze;;88.9
9451 Aa en Hunze;225;170;60;1725;515;670;545;2.25;Aa en Hunze;;3881.25
9452 Aa en Hunze;5;0;5;30;5;15;10;2.41;Aa en Hunze;;72.3
9453 Aa en Hunze;5;0;5;15;0;5;5;3.29;Aa en Hunze;;49.35
9454 Aa en Hunze;5;10;0;115;20;40;50;2.56;Aa en Hunze;;294.4
9455 Aa en Hunze;0;0;0;0;5;5;0;2.25;Aa en Hunze;;0
9456 Aa en Hunze;0;0;0;10;0;5;5;4.1;Aa en Hunze;;41
9457 Aa en Hunze;15;15;0;40;10;10;20;2.81;Aa en Hunze;;112.4
9458 Aa en Hunze;5;0;0;55;10;30;20;2.61;Aa en Hunze;;143.55
9459 Aa en Hunze;0;5;5;10;0;5;5;2.63;Aa en Hunze;;26.3
9461 Aa en Hunze;225;155;70;2170;565;845;760;2.33;Aa en Hunze;;5056.1
9462 Aa en Hunze;75;65;15;730;200;310;225;2.22;Aa en Hunze;;1620.6
9463 Aa en Hunze;80;60;20;600;155;235;210;2.35;Aa en Hunze;;1410
9464 Aa en Hunze;5;5;0;50;5;15;25;2.69;Aa en Hunze;;134.5
9465 Aa en Hunze;15;10;0;100;15;45;45;2.58;Aa en Hunze;;258
9466 Aa en Hunze;35;35;0;170;35;80;55;2.46;Aa en Hunze;;418.2
9467 Aa en Hunze;20;20;5;165;40;70;50;2.31;Aa en Hunze;;381.15
9468 Aa en Hunze;175;125;50;1485;350;545;595;2.45;Aa en Hunze;;3638.25
9469 Aa en Hunze;55;45;10;270;60;110;95;2.37;Aa en Hunze;;639.9
9471 Tynaarlo;395;265;130;2710;875;995;840;2.21;Tynaarlo;;5989.1
9472 Tynaarlo;295;195;95;1475;345;400;730;2.67;Tynaarlo;;3938.25
9473 Tynaarlo;30;15;5;160;30;50;85;2.74;Tynaarlo;;438.4
9474 Tynaarlo;20;15;10;130;25;55;55;2.53;Tynaarlo;;328.9
9475 Tynaarlo;25;20;10;165;45;65;55;2.23;Tynaarlo;;367.95
9479 Haren;55;45;5;245;60;90;100;2.55;Haren;;624.75
9481 Tynaarlo;240;165;75;1810;495;650;660;2.4;Tynaarlo;;4344
9482 Tynaarlo;100;90;10;705;145;290;270;2.49;Tynaarlo;;1755.45
9483 Tynaarlo;15;10;0;150;40;70;40;2.23;Tynaarlo;;334.5
9484 Tynaarlo;5;5;0;30;5;10;15;2.7;Tynaarlo;;81
9485 Tynaarlo;0;0;0;45;10;20;20;2.72;Tynaarlo;;122.4
9486 Assen;5;5;0;15;5;10;5;2.41;Assen;;36.15
9487 Assen;10;5;5;40;10;15;20;2.58;Assen;;103.2
9488 Assen;5;5;0;35;5;15;20;2.84;Assen;;99.4
9489 Assen;0;0;0;10;5;5;5;2.27;Assen;;22.7
9491 Tynaarlo;40;35;5;285;45;115;125;2.6;Tynaarlo;;741
9492 Assen;10;5;5;65;10;20;35;2.66;Assen;;172.9
9493 Tynaarlo;15;10;10;90;15;45;35;2.53;Tynaarlo;;227.7
9494 Tynaarlo;40;45;5;360;85;130;150;2.47;Tynaarlo;;889.2
9495 Tynaarlo;5;5;0;40;5;15;20;2.72;Tynaarlo;;108.8
9496 Tynaarlo;5;5;0;85;10;35;35;2.6;Tynaarlo;;221
9497 Tynaarlo;15;15;5;175;30;85;65;2.44;Tynaarlo;;427
9501 Stadskanaal;910;525;380;4485;1580;1590;1320;2.13;Stadskanaal;;9553.05
9502 Stadskanaal;490;320;160;2530;620;855;1050;2.48;Stadskanaal;;6274.4
9503 Stadskanaal;340;200;145;1880;590;645;645;2.25;Stadskanaal;;4230
9511 Aa en Hunze;45;40;5;415;85;175;150;2.45;Aa en Hunze;;1016.75
9512 Aa en Hunze;15;10;5;110;20;45;50;2.51;Aa en Hunze;;276.1
9514 Aa en Hunze;120;90;30;775;190;270;320;2.48;Aa en Hunze;;1922
9515 Aa en Hunze;35;25;10;285;50;105;130;2.57;Aa en Hunze;;732.45
9521 Borger-Odoorn;315;200;110;2055;500;675;880;2.47;Borger-Odoorn;;5075.85
9523 Borger-Odoorn;25;15;5;215;40;85;90;2.56;Borger-Odoorn;;550.4
9524 Borger-Odoorn;30;20;5;160;20;75;60;2.68;Borger-Odoorn;;428.8
9525 Borger-Odoorn;15;15;0;95;15;40;45;2.66;Borger-Odoorn;;252.7
9526 Borger-Odoorn;10;10;0;35;5;20;15;2.62;Borger-Odoorn;;91.7
9527 Borger-Odoorn;10;5;0;45;15;20;20;2.3;Borger-Odoorn;;103.5
9528 Borger-Odoorn;35;35;0;315;50;115;140;2.66;Borger-Odoorn;;837.9
9531 Borger-Odoorn;280;200;80;2150;650;820;680;2.24;Borger-Odoorn;;4816
9533 Borger-Odoorn;20;20;0;195;30;85;80;2.51;Borger-Odoorn;;489.45
9534 Borger-Odoorn;0;0;0;45;5;25;20;2.71;Borger-Odoorn;;121.95
9535 Borger-Odoorn;0;0;0;15;5;0;5;3;Borger-Odoorn;;45
9536 Borger-Odoorn;20;15;0;150;25;70;50;2.45;Borger-Odoorn;;367.5
9537 Borger-Odoorn;10;5;0;55;5;30;20;2.54;Borger-Odoorn;;139.7
9541 Vlagtwedde;200;175;20;1470;430;540;495;2.29;Vlagtwedde;;3366.3
9545 Vlagtwedde;55;50;5;315;95;125;95;2.23;Vlagtwedde;;702.45
9551 Vlagtwedde;120;100;20;1040;230;445;360;2.36;Vlagtwedde;;2454.4
9561 Vlagtwedde;900;595;305;3885;1180;1315;1390;2.29;Vlagtwedde;;8896.65
9563 Vlagtwedde;70;60;10;425;85;155;180;2.49;Vlagtwedde;;1058.25
9564 Borger-Odoorn;5;5;0;30;15;10;10;2.03;Borger-Odoorn;;60.9
9566 Bellingwedde;60;50;10;270;80;100;90;2.26;Bellingwedde;;610.2
9571 Borger-Odoorn;80;65;15;975;200;370;400;2.46;Borger-Odoorn;;2398.5
9573 Borger-Odoorn;20;20;5;145;30;55;65;2.74;Borger-Odoorn;;397.3
9574 Borger-Odoorn;5;5;0;40;10;15;15;2.74;Borger-Odoorn;;109.6
9581 Stadskanaal;840;515;330;3380;1050;1125;1210;2.28;Stadskanaal;;7706.4
9584 Stadskanaal;45;30;20;470;105;150;220;2.8;Stadskanaal;;1316
9585 Stadskanaal;20;20;5;120;20;40;55;2.54;Stadskanaal;;304.8
9591 Stadskanaal;75;60;10;1195;310;415;470;2.46;Stadskanaal;;2939.7
9601 Hoogezand-Sappemeer;780;385;395;3215;1435;1010;765;1.91;Hoogezand-Sappemeer;;6140.65
9602 Hoogezand-Sappemeer;3620;1025;2600;5525;1790;1675;2055;2.28;Hoogezand-Sappemeer;;12597
9603 Hoogezand-Sappemeer;270;135;135;1040;225;440;375;2.42;Hoogezand-Sappemeer;;2516.8
9605 Hoogezand-Sappemeer;55;50;15;350;70;115;170;2.67;Hoogezand-Sappemeer;;934.5
9606 Hoogezand-Sappemeer;135;115;20;705;110;300;290;2.55;Hoogezand-Sappemeer;;1797.75
9607 Hoogezand-Sappemeer;215;110;105;470;145;135;190;2.28;Hoogezand-Sappemeer;;1071.6
9608 Hoogezand-Sappemeer;75;60;10;370;85;140;140;2.41;Hoogezand-Sappemeer;;891.7
9609 Hoogezand-Sappemeer;0;5;0;10;5;0;5;2.18;Hoogezand-Sappemeer;;21.8
9611 Hoogezand-Sappemeer;720;435;285;3300;935;1110;1255;2.34;Hoogezand-Sappemeer;;7722
9615 Slochteren;90;80;15;610;120;255;230;2.42;Slochteren;;1476.2
9616 Slochteren;55;50;10;220;55;75;90;2.52;Slochteren;;554.4
9617 Slochteren;190;165;25;1085;250;380;455;2.49;Slochteren;;2701.65
9618 Slochteren;10;10;0;55;10;25;15;2.2;Slochteren;;121
9619 Slochteren;40;35;5;345;80;130;135;2.48;Slochteren;;855.6
9621 Slochteren;120;90;35;995;295;340;365;2.38;Slochteren;;2368.1
9623 Slochteren;10;5;0;80;10;30;40;2.77;Slochteren;;221.6
9624 Slochteren;5;5;0;25;5;5;10;3.43;Slochteren;;85.75
9625 Slochteren;30;20;10;240;70;70;110;2.57;Slochteren;;616.8
9626 Slochteren;60;45;25;610;140;190;275;2.57;Slochteren;;1567.7
9627 Slochteren;30;20;5;230;50;80;100;2.53;Slochteren;;581.9
9628 Slochteren;135;75;55;1300;350;445;505;2.41;Slochteren;;3133
9629 Slochteren;10;5;0;80;20;40;25;2.3;Slochteren;;184
9631 Veendam;20;20;5;170;20;80;70;2.58;Veendam;;438.6
