Regionale kerncijfers Nederland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Onderwerpen;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking
Capelle aan den IJssel;2006;65602;31712;33890;3800;3903;4091;4123;3761;18526;18286;6546;2566;29678;27251;5080;3593;47813;17789;6890;10899;584;1759;3940;738;3878;65488;28976;9903;8315;10758;2.24
Castricum;2006;35020;17151;17869;1981;2315;2410;2246;1503;8510;10117;4593;1345;15013;16364;1735;1908;31809;3211;2276;935;27;109;157;72;570;34941.5;14397;4185;4777;5435;2.4
Coevorden;2006;36135;17990;18145;2107;2235;2167;2046;1704;9483;10319;4557;1517;14708;17449;1611;2367;33385;2750;1892;858;12;37;60;119;630;36087.5;15025;4063;5285;5677;2.38
Cranendonck;2006;20133;10233;9900;1035;1219;1261;1199;929;5397;6124;2329;640;7958;10102;982;1091;17301;2832;2333;499;74;53;58;17;297;20207;8179;1997;2937;3245;2.45
Cromstrijen;2006;13049;6489;6560;763;812;812;721;615;3553;3972;1372;429;5069;6658;623;699;12195;854;596;258;5;22;55;13;163;13014.5;5278;1222;1907;2149;2.46
Cuijk;2006;24221;12205;12016;1453;1646;1579;1346;1146;7193;6651;2618;589;10594;11185;1284;1158;19805;4416;2355;2061;473;107;109;874;498;24235;9895;2689;3314;3892;2.43
Culemborg;2006;27157;13482;13675;1947;1964;1903;1696;1324;8175;7018;2384;746;12454;11985;1485;1233;21597;5560;2227;3333;1869;129;354;384;597;27167.5;10973;3116;3222;4635;2.46
Dalfsen;2006;26439;13424;13015;1803;1815;1881;1768;1291;6783;7230;3029;839;11287;13150;643;1359;25477;962;648;314;5;12;22;4;271;26490;9746;2120;3184;4442;2.7
Dantumadeel;2006;19555;9772;9783;1154;1284;1407;1421;1153;4970;5240;2114;812;8435;9279;660;1181;18982;573;400;173;7;7;17;4;138;19508;7480;1821;2392;3267;2.58
Delft;2006;95090;49710;45380;4614;4525;4701;5838;9846;30162;22813;8959;3632;51201;32636;6596;4657;68725;26365;11035;15330;1224;1490;2280;2346;7990;95234.5;50671;26332;12172;12167;1.86
Delfzijl;2006;27989;14020;13969;1387;1614;1652;1738;1413;7121;8030;3754;1280;11359;13108;1614;1908;23370;4619;2175;2444;23;501;312;686;922;27821;12158;3746;4154;4258;2.27
Deurne;2006;31853;16082;15771;1634;2036;2209;2163;1799;8530;8938;3740;804;13784;15167;1304;1598;29588;2265;1448;817;188;55;162;28;384;31847;12231;2896;4113;5222;2.55
Deventer;2006;96540;47606;48934;6329;5965;5659;5469;6450;30096;23004;9748;3820;46540;39060;5675;5265;76197;20343;8346;11997;306;483;637;6439;4132;96578.5;43635;16497;12822;14316;2.18
Diemen;2006;23834;11606;12228;1299;1457;1451;1486;1611;6809;6502;2461;758;11905;8941;1840;1148;15647;8187;2696;5491;516;493;1997;543;1942;23861;11196;4573;2889;3734;2.1
Dinkelland;2006;26092;13216;12876;1815;1892;1905;1633;1100;6808;6789;3165;985;11358;12734;477;1523;24166;1926;1612;314;0;15;8;91;200;26076.5;9384;2064;2871;4449;2.75
Dirksland;2006;8316;4135;4181;563;612;570;522;486;2240;2157;802;364;3455;4093;298;470;7970;346;229;117;5;7;23;6;76;8318.5;3190;804;1058;1328;2.57
Doesburg;2006;11539;5676;5863;679;781;758;633;524;3293;3268;1266;337;4851;5264;781;643;9333;2206;1123;1083;9;24;130;766;154;11566;4881;1435;1560;1886;2.35
Doetinchem;2006;56755;28143;28612;3461;3544;3577;3428;2788;16350;15311;6331;1965;25249;25168;3171;3167;49104;7651;4323;3328;100;156;144;1577;1351;56496.5;23977;7328;7786;8863;2.34
Dongen;2006;25558;12807;12751;1525;1663;1609;1519;1271;7200;7217;2746;808;10775;12178;1229;1376;22319;3239;1575;1664;25;74;137;780;648;25516.5;10287;2784;3348;4155;2.44
Dongeradeel;2006;25034;12539;12495;1587;1606;1727;1673;1360;6771;6424;2927;959;11276;11299;1051;1408;23198;1836;1008;828;8;55;50;24;691;24945.5;10234;3138;3195;3901;2.41
Dordrecht;2006;118821;58189;60632;7306;7329;7175;7286;7418;34795;30520;12271;4721;54349;49207;8570;6695;87514;31307;11495;19812;2516;3136;2670;6154;5336;118681;53134;19530;14991;18613;2.2
